variant,alert_order,pattern_id,subject_id,candidate_frame,candidate_second,confirm_frame,confirm_second,latency_s,confirm_confidence,confirm_bbox,confirm_orientation,candidate_bbox,candidate_orientation
baseline,1,CR-02,subject_001,0,0.0,30,1.0000000000000002,1.0000000000000002,0.7968,"[318.5, 92.5, 365.7, 185.6]",centro-arriba,"[327.4, 80.2, 368.0, 175.6]",centro-arriba
baseline,2,CR-02,subject_003,0,0.0,30,1.0000000000000002,1.0000000000000002,0.6189,"[501.6, 163.3, 560.5, 254.1]",centro-medio,"[500.1, 163.1, 559.3, 253.9]",centro-medio
baseline,3,CR-02,subject_005,0,0.0,30,1.0000000000000002,1.0000000000000002,0.637,"[303.6, 269.7, 337.9, 360.9]",centro-medio,"[301.9, 267.6, 335.7, 360.8]",centro-medio
baseline,4,CR-02,subject_004,2,0.06666666666666667,32,1.0666666666666667,1.0,0.5501,"[396.7, 338.2, 456.3, 441.8]",centro-abajo,"[397.0, 327.7, 451.8, 432.6]",centro-abajo
baseline,5,CR-02,subject_006,0,0.0,34,1.1333333333333335,1.1333333333333335,0.4114,"[412.8, 203.7, 464.4, 260.8]",centro-medio,"[412.1, 202.6, 463.7, 257.6]",centro-medio
baseline,6,CR-02,subject_011,0,0.0,34,1.1333333333333335,1.1333333333333335,0.3769,"[412.7, 203.6, 464.7, 313.8]",centro-medio,"[412.1, 202.4, 463.9, 300.4]",centro-medio
baseline,7,CR-02,subject_013,12,0.4,42,1.4,0.9999999999999999,0.5377,"[435.2, 296.7, 471.5, 397.9]",centro-abajo,"[420.5, 292.1, 465.1, 396.5]",centro-abajo
baseline,8,CR-02,subject_013,116,3.866666666666667,146,4.866666666666667,1.0,0.597,"[412.1, 284.9, 445.9, 394.3]",centro-abajo,"[407.0, 287.0, 449.2, 394.3]",centro-abajo
baseline,9,CR-02,subject_002,126,4.2,158,5.266666666666667,1.0666666666666664,0.6333,"[556.1, 208.6, 608.8, 309.5]",derecha-medio,"[561.3, 210.1, 606.7, 311.4]",derecha-medio
balanced_vest_association,1,CR-02,subject_001,0,0.0,30,1.0000000000000002,1.0000000000000002,0.7968,"[318.5, 92.5, 365.7, 185.6]",centro-arriba,"[327.4, 80.2, 368.0, 175.6]",centro-arriba
balanced_vest_association,2,CR-02,subject_004,0,0.0,30,1.0000000000000002,1.0000000000000002,0.5864,"[395.7, 342.1, 454.8, 443.9]",centro-abajo,"[396.3, 326.5, 451.3, 433.2]",centro-abajo
balanced_vest_association,3,CR-02,subject_003,0,0.0,30,1.0000000000000002,1.0000000000000002,0.6189,"[501.6, 163.3, 560.5, 254.1]",centro-medio,"[500.1, 163.1, 559.3, 253.9]",centro-medio
balanced_vest_association,4,CR-02,subject_008,0,0.0,30,1.0000000000000002,1.0000000000000002,0.4868,"[401.9, 251.6, 446.5, 356.2]",centro-medio,"[397.6, 249.1, 444.2, 323.5]",centro-medio
