variant,stage,alert_order,alert_id,pattern_id,condition_id,risk_condition,severity,subject_id,subject_label,frame_index,timestamp_ms,second,bbox_xyxy,confidence,missing_class,supporting_labels,supporting_bboxes,orientation,rationale
baseline,confirm,1,,CR-02,,,,subject_001,person,30,,1.000000,"[318.5, 92.5, 365.7, 185.6]",0.796800,,,,centro-arriba,
baseline,confirm,2,,CR-02,,,,subject_003,person,30,,1.000000,"[501.6, 163.3, 560.5, 254.1]",0.618900,,,,centro-medio,
baseline,confirm,3,,CR-02,,,,subject_005,person,30,,1.000000,"[303.6, 269.7, 337.9, 360.9]",0.637000,,,,centro-medio,
baseline,confirm,4,,CR-02,,,,subject_004,person,32,,1.066667,"[396.7, 338.2, 456.3, 441.8]",0.550100,,,,centro-abajo,
baseline,confirm,5,,CR-02,,,,subject_006,person,34,,1.133333,"[412.8, 203.7, 464.4, 260.8]",0.411400,,,,centro-medio,
baseline,confirm,6,,CR-02,,,,subject_011,person,34,,1.133333,"[412.7, 203.6, 464.7, 313.8]",0.376900,,,,centro-medio,
baseline,confirm,7,,CR-02,,,,subject_013,person,42,,1.400000,"[435.2, 296.7, 471.5, 397.9]",0.537700,,,,centro-abajo,
baseline,confirm,8,,CR-02,,,,subject_013,person,146,,4.866667,"[412.1, 284.9, 445.9, 394.3]",0.597000,,,,centro-abajo,
baseline,confirm,9,,CR-02,,,,subject_002,person,158,,5.266667,"[556.1, 208.6, 608.8, 309.5]",0.633300,,,,derecha-medio,
balanced_vest_association,confirm,1,,CR-02,,,,subject_001,person,30,,1.000000,"[318.5, 92.5, 365.7, 185.6]",0.796800,,,,centro-arriba,
balanced_vest_association,confirm,2,,CR-02,,,,subject_004,person,30,,1.000000,"[395.7, 342.1, 454.8, 443.9]",0.586400,,,,centro-abajo,
balanced_vest_association,confirm,3,,CR-02,,,,subject_003,person,30,,1.000000,"[501.6, 163.3, 560.5, 254.1]",0.618900,,,,centro-medio,
balanced_vest_association,confirm,4,,CR-02,,,,subject_008,person,30,,1.000000,"[401.9, 251.6, 446.5, 356.2]",0.486800,,,,centro-medio,
balanced_vest_association,confirm,5,,CR-02,,,,subject_005,person,30,,1.000000,"[303.6, 269.7, 337.9, 360.9]",0.637000,,,,centro-medio,
balanced_vest_association,confirm,6,,CR-02,,,,subject_006,person,32,,1.066667,"[413, 203.7, 464.3, 260.4]",0.442200,,,,centro-medio,
balanced_vest_association,confirm,7,,CR-02,,,,subject_011,person,32,,1.066667,"[413, 203.5, 464.6, 312.8]",0.356700,,,,centro-medio,
balanced_vest_association,confirm,8,,CR-02,,,,subject_013,person,42,,1.400000,"[435.2, 296.7, 471.5, 397.9]",0.537700,,,,centro-abajo,
balanced_vest_association,confirm,9,,CR-02,,,,subject_002,person,70,,2.333333,"[563.1, 208.4, 605.4, 313.5]",0.597200,,,,derecha-medio,
balanced_vest_association,confirm,10,,CR-02,,,,subject_009,person,78,,2.600000,"[601.5, 205, 641.5, 308.5]",0.655600,,,,derecha-medio,
balanced_vest_association,confirm,11,,CR-02,,,,subject_008,person,122,,4.066667,"[404.2, 245.6, 448.9, 362]",0.359400,,,,centro-medio,
balanced_vest_association,confirm,12,,CR-02,,,,subject_002,person,156,,5.200000,"[553.4, 208.6, 609.1, 310.1]",0.631800,,,,derecha-medio,
conservative,confirm,1,,CR-02,,,,subject_001,person,46,,1.533333,"[313.4, 93.7, 361, 184.8]",0.804700,,,,centro-arriba,
conservative,confirm,2,,CR-02,,,,subject_005,person,46,,1.533333,"[303.3, 269.4, 338.7, 361]",0.724100,,,,centro-medio,
conservative,confirm,3,,CR-02,,,,subject_003,person,46,,1.533333,"[500.9, 163, 559.9, 261.2]",0.607300,,,,centro-medio,
conservative,confirm,4,,CR-02,,,,subject_004,person,48,,1.600000,"[394.4, 333.5, 449.2, 437.9]",0.586000,,,,centro-abajo,
conservative,confirm,5,,CR-02,,,,subject_006,person,48,,1.600000,"[412.9, 203.6, 463.9, 263.3]",0.474600,,,,centro-medio,
conservative,confirm,6,,CR-02,,,,subject_013,person,68,,2.266667,"[432.5, 298, 475.6, 373.3]",0.482500,,,,centro-abajo,
conservative,confirm,7,,CR-02,,,,subject_013,person,172,,5.733333,"[409.3, 287.7, 446.4, 393.1]",0.611200,,,,centro-abajo,
conservative,confirm,8,,CR-02,,,,subject_002,person,174,,5.800000,"[570.1, 207.2, 618.1, 310.6]",0.707800,,,,derecha-medio,
