variant,stage,frame_index,second,annotations_count,pattern_ids,condition_ids,risk_conditions,severities,subjects,missing_classes,output_path
balanced_vest_association,confirm,30,1.000000,5,CR-02,,,,subject_001;subject_004;subject_003;subject_008;subject_005,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/balanced_vest_association/confirm_frame_000030_001.000s.jpg
balanced_vest_association,confirm,32,1.066667,2,CR-02,,,,subject_006;subject_011,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/balanced_vest_association/confirm_frame_000032_001.067s.jpg
balanced_vest_association,confirm,42,1.400000,1,CR-02,,,,subject_013,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/balanced_vest_association/confirm_frame_000042_001.400s.jpg
balanced_vest_association,confirm,70,2.333333,1,CR-02,,,,subject_002,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/balanced_vest_association/confirm_frame_000070_002.333s.jpg
balanced_vest_association,confirm,78,2.600000,1,CR-02,,,,subject_009,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/balanced_vest_association/confirm_frame_000078_002.600s.jpg
balanced_vest_association,confirm,122,4.066667,1,CR-02,,,,subject_008,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/balanced_vest_association/confirm_frame_000122_004.067s.jpg
balanced_vest_association,confirm,156,5.200000,1,CR-02,,,,subject_002,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/balanced_vest_association/confirm_frame_000156_005.200s.jpg
baseline,confirm,30,1.000000,3,CR-02,,,,subject_001;subject_003;subject_005,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/baseline/confirm_frame_000030_001.000s.jpg
baseline,confirm,32,1.066667,1,CR-02,,,,subject_004,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/baseline/confirm_frame_000032_001.067s.jpg
baseline,confirm,34,1.133333,2,CR-02,,,,subject_006;subject_011,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/baseline/confirm_frame_000034_001.133s.jpg
baseline,confirm,42,1.400000,1,CR-02,,,,subject_013,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/baseline/confirm_frame_000042_001.400s.jpg
baseline,confirm,146,4.866667,1,CR-02,,,,subject_013,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/baseline/confirm_frame_000146_004.867s.jpg
baseline,confirm,158,5.266667,1,CR-02,,,,subject_002,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/baseline/confirm_frame_000158_005.267s.jpg
conservative,confirm,46,1.533333,3,CR-02,,,,subject_001;subject_005;subject_003,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/conservative/confirm_frame_000046_001.533s.jpg
conservative,confirm,48,1.600000,2,CR-02,,,,subject_004;subject_006,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/conservative/confirm_frame_000048_001.600s.jpg
conservative,confirm,68,2.266667,1,CR-02,,,,subject_013,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/conservative/confirm_frame_000068_002.267s.jpg
conservative,confirm,172,5.733333,1,CR-02,,,,subject_013,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/conservative/confirm_frame_000172_005.733s.jpg
conservative,confirm,174,5.800000,1,CR-02,,,,subject_002,,tmp/eovrt_video5_gdino_matrix_20260702T224706Z/visual_alerts/conservative/confirm_frame_000174_005.800s.jpg
